90 215
740 215
0 0 multihit
0 50 multihit
0 100 multihit
0 150 multihit
0 200 multihit
0 250 multihit
0 300 multihit
0 350 multihit
0 400 multihit
0 450 multihit
20 0 multihit
20 50 multihit
20 100 randpwr
20 150 multihit
20 200 multihit
20 250 multihit
20 300 multihit
20 350 multihit
20 400 randpwr
20 450 multihit
40 0 multihit
40 50 multihit
40 100 multihit
40 150 multihit
40 200 multihit
40 250 multihit
40 300 multihit
40 350 multihit
40 400 multihit
40 450 multihit
40 0 multihit
40 50 multihit
40 100 multihit
40 150 multihit
40 200 multihit
40 250 multihit
40 300 multihit
40 350 multihit
40 400 multihit
40 450 multihit
60 0 multihit
60 50 multihit
60 100 multihit
60 150 multihit
60 200 multihit
60 250 randpwr
60 300 multihit
60 350 multihit
60 400 multihit
60 450 extralife
830 0 multihit
830 50 multihit
830 100 multihit
830 150 multihit
830 200 multihit
830 250 multihit
830 300 multihit
830 350 multihit
830 400 multihit
830 450 multihit
810 0 multihit
810 50 multihit
810 100 randpwr
810 150 multihit
810 200 multihit
810 250 multihit
810 300 multihit
810 350 multihit
810 400 randpwr
810 450 multihit
790 0 multihit
790 50 multihit
790 100 multihit
790 150 multihit
790 200 multihit
790 250 randpwr
790 300 multihit
790 350 multihit
790 400 multihit
790 450 multihit
770 0 multihit
770 50 multihit
770 100 multihit
770 150 multihit
770 200 multihit
770 250 multihit
770 300 multihit
770 350 multihit
770 400 multihit
770 450 extralife
